composition,n_samples,mae,rmse,r2
Al0.05In0.1Mg0.85,4,0.030509,0.037133,0.996036
Al0.04La0.17Ni0.79,5,0.065424,0.07504,0.993719
Cr0.27Fe0.06Ti0.27V0.4,4,0.07353,0.088991,0.992791
Cr0.26Fe0.06Ti0.28V0.4,4,0.080177,0.092435,0.993126
Fe0.45Mn0.05Ti0.5,4,0.088393,0.094817,0.950368
Cr0.27Fe0.07Mn0.33Ti0.22Zr0.12,4,0.080407,0.100517,0.923617
Al0.03La0.17Ni0.8,4,0.072303,0.102669,0.98423
Co0.4Ni0.1Zr0.5,5,0.090744,0.104892,0.988628
Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,3,0.119152,0.121884,0.914371
Ce0.02La0.15Ni0.83,4,0.122098,0.122339,0.96989
Cr0.257Fe0.064Mn0.32Ti0.23Zr0.125,4,0.112012,0.123723,0.930215
Co0.45Ni0.05Zr0.5,5,0.114039,0.124245,0.984965
Al0.13La0.17Ni0.7,5,0.114736,0.138736,0.98899
Fe0.475Mn0.025Ti0.5,4,0.155704,0.156793,0.857321
La0.17Ni0.83,5,0.137037,0.164636,0.960961
Al0.12La0.17Ni0.71,4,0.150731,0.168514,0.974005
Al0.05In0.05Mg0.9,4,0.170998,0.180117,0.942841
Mn0.33Ti0.33V0.33,4,0.149767,0.193379,0.966273
Fe0.425Mn0.075Ti0.5,4,0.196471,0.196641,0.789165
Co0.35Ni0.15Zr0.5,5,0.193183,0.198005,0.959699
Cr0.34Fe0.19Mn0.09Ti0.34Zr0.034,3,0.19757,0.198626,0.456748
Cr0.25Fe0.06Ti0.29V0.4,4,0.198047,0.20204,0.974126
Cr0.33Fe0.18Mn0.09Ti0.36Zr0.036,3,0.231975,0.238528,0.671373
Cr0.4Fe0.12Mn0.09Ti0.34Zr0.03,3,0.243877,0.244066,0.661171
Ce0.03La0.13Ni0.83,4,0.24179,0.246503,0.867687
Co0.5Ti0.05Zr0.45,4,0.247698,0.254411,0.873365
Cr0.262Fe0.065Mn0.327Ti0.227Zr0.121,4,0.261061,0.261764,0.594221
Cr0.47Fe0.06Mn0.09Ti0.34Zr0.03,3,0.259372,0.262481,0.61225
Co0.08La0.08Mg0.17Nd0.08Ni0.58,3,0.251386,0.263184,0.927315
Cr0.35Fe0.19Mn0.09Ti0.33Zr0.04,3,0.287893,0.29635,0.487
Mn0.27Ti0.33V0.4,4,0.253522,0.297468,0.958839
Cr0.35Fe0.19Mn0.1Ti0.33Zr0.03,3,0.297978,0.299728,-0.702709
Co0.5Zr0.5,6,0.285931,0.315293,0.90634
Cr0.24Fe0.06Ti0.3V0.4,4,0.247278,0.324592,0.952888
Cr0.5Mn0.14Ti0.36,4,0.323595,0.343581,0.654696
Al0.07La0.17Ni0.77,4,0.338722,0.347207,0.829637
Al0.1Mg0.9,4,0.325837,0.35703,0.803653
Cr0.26Fe0.065Mn0.326Ti0.224Zr0.124,4,0.356663,0.357257,0.257666
Ce0.05Mg0.9Nd0.05,4,0.358375,0.359154,0.596113
Ce0.05La0.05Mg0.9,4,0.368179,0.370748,0.544201
In0.15Mg0.85,4,0.3767,0.379841,0.584677
Mn0.4Ti0.33V0.27,4,0.340747,0.385949,0.865401
In0.1Mg0.9,4,0.417144,0.420112,0.677995
Al0.1La0.17Ni0.73,5,0.438674,0.448199,0.83721
Co0.17La0.08Mg0.17Nd0.08Ni0.5,3,0.513435,0.532192,0.749902
Cr0.43Mn0.21Ti0.36,4,0.534587,0.538551,0.076064
La0.08Mg0.17Nd0.08Ni0.67,3,0.539712,0.546684,0.653193
Al0.08La0.17Ni0.75,4,0.537876,0.548206,0.607041
Ce0.1Mg0.9,4,0.581997,0.582062,-0.078368
Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,3,0.941067,0.941596,-3.817917
Ce0.05Mg0.9Y0.05,4,0.939936,0.941605,-1.894438
Al0.17La0.17Ni0.67,4,0.943573,0.963998,0.566226
In0.05Mg0.95,4,1.032837,1.037899,-0.691741
In0.2Mg0.8,4,1.040551,1.041128,-0.759063
Al0.1Ga0.02In0.04Mg0.82Zn0.02,3,1.111252,1.11159,-9.554324
Mg0.85Ni0.08Y0.08,4,1.252128,1.252557,-4.176712
Ce0.05Mg0.9Sm0.05,4,1.331605,1.331713,-4.763089
Mg0.95Sn0.03Zn0.02,3,1.469905,1.470066,-12.694748
Mg0.92Ni0.07Ti0.01,4,1.531786,1.533081,-1.150826
Cr0.36Mn0.29Ti0.36,4,1.532028,1.534028,-8.33877
La0.05Mg0.85Ni0.1,4,1.546744,1.54684,-6.152842
Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,3,1.595572,1.595665,-12.333713
Al0.00041Cr0.37Ti0.21V0.42,3,1.785114,1.793679,-5.795756
Co0.75Mg0.12Nd0.12,3,1.84859,1.855817,-4.747673
Al0.05In0.05Mg0.87Si0.01Zn0.02,4,1.858677,1.859509,-4.855183
Mg0.92Ni0.08,3,1.861547,1.861852,-1.936358
Mg0.88Y0.12,4,2.026386,2.037082,-5.202668
Ce0.08Co0.17La0.08Ni0.67,3,2.186774,2.195794,-2.740512
Co0.75Mg0.08Nd0.17,3,2.218653,2.255921,-4.032641
Nb0.25Ta0.25Ti0.25Zr0.25,3,2.231185,2.348783,-6.233908
Ag0.07Mg0.6Ni0.33,3,2.887567,2.888043,-7.891118
Mg0.85Ni0.15,3,3.186767,3.190457,-7.089526
Mg0.68Ni0.23Ti0.09,3,4.05853,4.059886,-28.374906
Cr0.112Fe0.1043Mg0.7193Zr0.0639,3,4.996193,4.996394,-71.601023
Al0.01Co0.33La0.23Nd0.08Ni0.34Ti0.01,4,6.013294,6.013769,-264.368847
Mg0.85Ni0.08Sm0.08,4,6.236097,6.23625,-124.887715
La0.289Ni0.675Si0.036,4,7.387648,7.387857,-1099.382912
